TIGRFAM	link	mainrole	subrole	Name	Function	Isology_Type	EC_Number
TIGR00233	137	Protein synthesis	tRNA aminoacylation	trpS	tryptophan--tRNA ligase	equivalog	6.1.1.2
TIGR00234	137	Protein synthesis	tRNA aminoacylation	tyrS	tyrosine--tRNA ligase	equivalog	6.1.1.1
TIGR00235	127	"Purines, pyrimidines, nucleosides, and nucleotides"	Salvage of nucleosides and nucleotides	udk	uridine kinase	equivalog	2.7.1.48
TIGR00236	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	wecB	UDP-N-acetylglucosamine 2-epimerase	equivalog	5.1.3.14
TIGR00237	131	DNA metabolism	Degradation of DNA	xseA	"_exodeoxyribonuclease VII, large subunit_"	equivalog	3.1.11.6
TIGR00238	149	Cellular processes	Adaptations to atypical conditions	TIGR00238	KamA family protein	subfamily	
TIGR00239	120	Energy metabolism	TCA cycle	2oxo_dh_E1	"_oxoglutarate dehydrogenase (succinyl-transferring), E1 component_"	equivalog	1.2.4.2
TIGR00240	126	"Purines, pyrimidines, nucleosides, and nucleotides"	Pyrimidine ribonucleotide biosynthesis	ATCase_reg	"_aspartate carbamoyltransferase, regulatory subunit_"	equivalog	2.1.3.2
TIGR00242	93	Cellular processes	Cell division	TIGR00242	division/cell wall cluster transcriptional repressor MraZ	equivalog	
TIGR00243	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	Dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	equivalog	1.1.1.267
TIGR00244	261	Regulatory functions	DNA interactions	TIGR00244	transcriptional regulator NrdR	equivalog	
TIGR00245	156	Hypothetical proteins	Conserved	TIGR00245	TIGR00245 family protein	hypoth_equivalog	
TIGR00246	168	Protein synthesis	tRNA and rRNA base modification	tRNA_RlmH_YbeA	rRNA large subunit m3Psi methyltransferase RlmH	equivalog	2.1.1.177
TIGR00247	156	Hypothetical proteins	Conserved	TIGR00247	"_conserved hypothetical protein, YceG family_"	hypoth_equivalog	
TIGR00249	263	Regulatory functions	Protein interactions	sixA	phosphohistidine phosphatase SixA	equivalog	3.1.3.-
TIGR00250	157	Unknown function	General	RNAse_H_YqgF	putative transcription antitermination factor YqgF	hypoth_equivalog	
TIGR00251	156	Hypothetical proteins	Conserved	TIGR00251	TIGR00251 family protein	hypoth_equivalog	
TIGR00252	156	Hypothetical proteins	Conserved	TIGR00252	TIGR00252 family protein	hypoth_equivalog	
TIGR00253	157	Unknown function	General	RNA_bind_YhbY	"_putative RNA-binding protein, YhbY family_"	hypoth_equivalog	
TIGR00254	264	Regulatory functions	Small molecule interactions	GGDEF	diguanylate cyclase (GGDEF) domain	domain	
TIGR00255	156	Hypothetical proteins	Conserved	TIGR00255	TIGR00255 family protein	hypoth_equivalog	
TIGR00256	137	Protein synthesis	tRNA aminoacylation	TIGR00256	D-tyrosyl-tRNA(Tyr) deacylase	equivalog	3.6.1.-
TIGR00257	157	Unknown function	General	IMPACT_YIGZ	"_uncharacterized protein, YigZ family_"	hypoth_equivalog	
TIGR00258	122	"Purines, pyrimidines, nucleosides, and nucleotides"	Other	TIGR00258	inosine/xanthosine triphosphatase	hypoth_equivalog	
TIGR00259	95	Protein fate	Protein folding and stabilization	thylakoid_BtpA	"_membrane complex biogenesis protein, BtpA family_"	subfamily	
TIGR00260	71	Amino acid biosynthesis	Aspartate family	thrC	threonine synthase	equivalog	4.2.3.1
TIGR00261	157	Unknown function	General	traB	TraB family protein	subfamily	
TIGR00262	70	Amino acid biosynthesis	Aromatic amino acid family	trpA	"_tryptophan synthase, alpha subunit_"	equivalog	4.2.1.20
TIGR00263	70	Amino acid biosynthesis	Aromatic amino acid family	trpB	"_tryptophan synthase, beta subunit_"	equivalog	4.2.1.20
TIGR00264	157	Unknown function	General	TIGR00264	alpha-NAC homolog	hypoth_equivalog	
TIGR00266	156	Hypothetical proteins	Conserved	TIGR00266	TIGR00266 family protein	hypoth_equivalog	
TIGR00267	156	Hypothetical proteins	Conserved	TIGR00267	TIGR00267 family protein	hypoth_equivalog	
TIGR00268	156	Hypothetical proteins	Conserved	TIGR00268	TIGR00268 family protein	hypoth_equivalog	
TIGR00269	156	Hypothetical proteins	Conserved	TIGR00269	TIGR00269 family protein	hypoth_equivalog	
TIGR00270	156	Hypothetical proteins	Conserved	TIGR00270	TIGR00270 family protein	hypoth_equivalog	
TIGR00272	140	Protein fate	Protein modification and repair	DPH2	diphthamide biosynthesis protein 2	equivalog	
TIGR00273	112	Energy metabolism	Electron transport	TIGR00273	iron-sulfur cluster-binding protein	equivalog	
TIGR00274	89	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	TIGR00274	N-acetylmuramic acid 6-phosphate etherase	equivalog	4.2.1.126
TIGR00275	703	Unknown function	Enzymes of unknown specificity	TIGR00275	"_flavoprotein, HI0933 family_"	subfamily	
TIGR00276	168	Protein synthesis	tRNA and rRNA base modification	TIGR00276	epoxyqueuosine reductase	equivalog	1.-.-.-
TIGR00278	156	Hypothetical proteins	Conserved	TIGR00278	putative membrane protein insertion efficiency factor	equivalog	
TIGR00279	158	Protein synthesis	Ribosomal proteins: synthesis and modification	uL16_euk_arch	ribosomal protein uL16	equivalog	
TIGR00280	158	Protein synthesis	Ribosomal proteins: synthesis and modification	eL43_euk_arch	ribosomal protein eL43	equivalog	
TIGR00281	93	Cellular processes	Cell division	TIGR00281	segregation and condensation protein B	equivalog	
TIGR00282	703	Unknown function	Enzymes of unknown specificity	TIGR00282	"_metallophosphoesterase, MG_246/BB_0505 family_"	hypoth_equivalog	
TIGR00283	136	Protein synthesis	Other	arch_pth2	peptidyl-tRNA hydrolase	equivalog	3.1.1.29
TIGR00284	157	Unknown function	General	TIGR00284	dihydropteroate synthase-related protein	hypoth_equivalog	
TIGR00285	170	DNA metabolism	Chromosome-associated proteins	TIGR00285	DNA-binding protein Alba	equivalog	
TIGR00286	104	Central intermediary metabolism	Polyamine biosynthesis	TIGR00286	"_arginine decarboxylase, pyruvoyl-dependent_"	equivalog	4.1.1.19
TIGR00287	719	Uncategorized	Uncategorized	cas1	CRISPR-associated endonuclease Cas1	equivalog	3.1.-.-
TIGR00288	156	Hypothetical proteins	Conserved	TIGR00288	TIGR00288 family protein	hypoth_equivalog	
TIGR00289	156	Hypothetical proteins	Conserved	TIGR00289	TIGR00289 family protein	hypoth_equivalog	
TIGR00291	136	Protein synthesis	Other	RNA_SBDS	"_rRNA metabolism protein, SBDS family_"	equivalog	
TIGR00292	162	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	TIGR00292	thiazole biosynthesis enzyme	equivalog	
TIGR00293	95	Protein fate	Protein folding and stabilization	TIGR00293	"_prefoldin, alpha subunit_"	equivalog	
TIGR00294	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	TIGR00294	GTP cyclohydrolase	hypoth_equivalog	3.5.4.-
TIGR00295	156	Hypothetical proteins	Conserved	TIGR00295	TIGR00295 family protein	hypoth_equivalog	
TIGR00296	157	Unknown function	General	TIGR00296	"_uncharacterized protein, PH0010 family_"	hypoth_equivalog	
TIGR00297	156	Hypothetical proteins	Conserved	TIGR00297	TIGR00297 family protein	hypoth_equivalog	
TIGR00298	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	TIGR00298	2-phosphosulfolactate phosphatase	equivalog	3.1.3.71
TIGR00299	156	Hypothetical proteins	Conserved	TIGR00299	TIGR00299 family protein	hypoth_equivalog	
TIGR00300	156	Hypothetical proteins	Conserved	TIGR00300	TIGR00300 family protein	hypoth_equivalog	
TIGR00302	125	"Purines, pyrimidines, nucleosides, and nucleotides"	Purine ribonucleotide biosynthesis	TIGR00302	"_phosphoribosylformylglycinamidine synthase, purS protein_"	equivalog	
TIGR00303	156	Hypothetical proteins	Conserved	TIGR00303	TIGR00303 family protein	hypoth_equivalog	
TIGR00304	156	Hypothetical proteins	Conserved	TIGR00304	TIGR00304 family protein	hypoth_equivalog	
TIGR00305	134	Transcription	Degradation of RNA	TIGR00305	"_putative toxin-antitoxin system toxin component, PIN family_"	equivalog	
TIGR00306	116	Energy metabolism	Glycolysis/gluconeogenesis	apgM	"_phosphoglycerate mutase (2,3-diphosphoglycerate-independent), archaeal form_"	subfamily	5.4.2.12
TIGR00307	158	Protein synthesis	Ribosomal proteins: synthesis and modification	eS8	ribosomal protein eS8	equivalog	
TIGR00308	168	Protein synthesis	tRNA and rRNA base modification	TRM1	"_N2,N2-dimethylguanosine tRNA methyltransferase_"	equivalog	2.1.1.-
TIGR00309	145	Transport and binding proteins	Cations and iron carrying compounds	V_ATPase_subD	"_V-type ATPase, D subunit_"	subfamily	3.6.3.14
TIGR00311	169	Protein synthesis	Translation factors	aIF-2beta	"_putative translation initiation factor aIF-2, beta subunit_"	hypoth_equivalog	
TIGR00312	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	cbiD	cobalamin biosynthesis protein CbiD	equivalog	
TIGR00313	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	cobQ	cobyric acid synthase CobQ	equivalog	6.3.5.10
TIGR00314	180	Energy metabolism	Chemoautotrophy	cdhA	"_CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit_"	equivalog	1.2.99.2
TIGR00315	180	Energy metabolism	Chemoautotrophy	cdhB	"_CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit_"	equivalog	1.2.99.2
TIGR00316	180	Energy metabolism	Chemoautotrophy	cdhC	"_CO dehydrogenase/CO-methylating acetyl-CoA synthase complex, beta subunit_"	equivalog	1.2.99.2 2.3.1.169
TIGR00317	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	cobS	cobalamin 5`-phosphate synthase	equivalog	2.7.8.26
TIGR00318	264	Regulatory functions	Small molecule interactions	cyaB	putative adenylyl cyclase CyaB	hypoth_equivalog	
TIGR00319	112	Energy metabolism	Electron transport	desulf_FeS4	desulfoferrodoxin FeS4 iron-binding domain	domain	
TIGR00320	112	Energy metabolism	Electron transport	dfx_rbo	desulfoferrodoxin	equivalog	
TIGR00321	140	Protein fate	Protein modification and repair	dhys	deoxyhypusine synthase	equivalog	2.5.1.46
TIGR00323	169	Protein synthesis	Translation factors	eIF-6	putative translation initiation factor eIF-6	hypoth_equivalog	
TIGR00324	166	Transcription	RNA processing	endA	tRNA-intron lyase	equivalog	4.6.1.16
TIGR00325	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	equivalog	3.5.1.-
TIGR00326	85	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	eubact_ribD	riboflavin biosynthesis protein RibD	equivalog	3.5.4.26 1.1.1.193
TIGR00327	97	Protein fate	Protein and peptide secretion and trafficking	secE_euk_arch	"_protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic_"	equivalog	
TIGR00328	188	Cellular processes	Chemotaxis and motility	flhB	flagellar biosynthetic protein FlhB	equivalog	
TIGR00329	138	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	gcp_kae1	"_metallohydrolase, glycoprotease/Kae1 family_"	subfamily	
TIGR00330	117	Energy metabolism	Pentose phosphate pathway	glpX	"_fructose-1,6-bisphosphatase, class II_"	equivalog	3.1.3.11
TIGR00331	261	Regulatory functions	DNA interactions	hrcA	heat-inducible transcription repressor HrcA	equivalog	
TIGR00332	112	Energy metabolism	Electron transport	neela_ferrous	desulfoferrodoxin ferrous iron-binding domain	domain	
TIGR00333	123	"Purines, pyrimidines, nucleosides, and nucleotides"	2`-Deoxyribonucleotide metabolism	nrdI	nrdI protein	equivalog	
TIGR00334	166	Transcription	RNA processing	5S_RNA_mat_M5	ribonuclease M5	equivalog	3.1.26.8
TIGR00335	132	DNA metabolism	"DNA replication, recombination, and repair"	primase_sml	"_putative DNA primase, eukaryotic-type, small subunit_"	equivalog	
TIGR00336	126	"Purines, pyrimidines, nucleosides, and nucleotides"	Pyrimidine ribonucleotide biosynthesis	pyrE	orotate phosphoribosyltransferase	equivalog_domain	2.4.2.10
TIGR00337	126	"Purines, pyrimidines, nucleosides, and nucleotides"	Pyrimidine ribonucleotide biosynthesis	PyrG	CTP synthase	equivalog	6.3.4.2
TIGR00338	75	Amino acid biosynthesis	Serine family	serB	phosphoserine phosphatase SerB	equivalog	3.1.3.3
TIGR00339	106	Central intermediary metabolism	Sulfur metabolism	sopT	sulfate adenylyltransferase	equivalog_domain	2.7.7.4
TIGR00340	157	Unknown function	General	zpr1_rel	zinc finger protein ZPR1 homolog	hypoth_equivalog	
TIGR00341	156	Hypothetical proteins	Conserved	TIGR00341	TIGR00341 family protein	hypoth_equivalog	
TIGR00342	168	Protein synthesis	tRNA and rRNA base modification	TIGR00342	tRNA sulfurtransferase ThiI	equivalog_domain	2.8.1.4
TIGR00343	84	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridoxine	TIGR00343	"_pyridoxal 5`-phosphate synthase, synthase subunit Pdx1_"	equivalog	
TIGR00344	137	Protein synthesis	tRNA aminoacylation	alaS	alanine--tRNA ligase	equivalog	6.1.1.7
TIGR00345	156	Hypothetical proteins	Conserved	GET3_arsA_TRC40	"_transport-energizing ATPase, TRC40/GET3/ArsA family_"	subfamily	3.6.1.-
TIGR00346	142	Transport and binding proteins	"Amino acids, peptides and amines"	azlC	azaleucine resistance protein AzlC	equivalog	
TIGR00347	77	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	bioD	dethiobiotin synthase	equivalog	6.3.3.3
TIGR00348	183	DNA metabolism	Restriction/modification	hsdR	"_type I site-specific deoxyribonuclease, HsdR family_"	subfamily	3.1.21.3
TIGR00350	129	Regulatory functions	Other	lytR_cpsA_psr	cell envelope-related function transcriptional attenuator common domain	domain	
TIGR00351	110	Energy metabolism	Anaerobic	narI	"_respiratory nitrate reductase, gamma subunit_"	equivalog	1.7.99.4
TIGR00353	112	Energy metabolism	Electron transport	nrfE	cytochrome c-type biogenesis protein CcmF	equivalog	
TIGR00354	132	DNA metabolism	"DNA replication, recombination, and repair"	polC	"_DNA polymerase II, large subunit DP2_"	equivalog	2.7.7.7
TIGR00355	125	"Purines, pyrimidines, nucleosides, and nucleotides"	Purine ribonucleotide biosynthesis	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	equivalog	2.1.2.3 3.5.4.10
TIGR00357	140	Protein fate	Protein modification and repair	TIGR00357	methionine-R-sulfoxide reductase	equivalog_domain	1.8.4.-
TIGR00358	134	Transcription	Degradation of RNA	3_prime_RNase	VacB and RNase II family 3`-5`` `exoribonucleases	superfamily	3.1.13.1
TIGR00359	700	Signal transduction	PTS	cello_pts_IIC	"_PTS system, cellobiose-specific IIC component_"	equivalog	2.7.1.69
TIGR00360	157	Unknown function	General	ComEC_N-term	ComEC/Rec2-related protein	subfamily_domain	
TIGR00361	98	Cellular processes	DNA transformation	ComEC_Rec2	DNA internalization-related competence protein ComEC/Rec2	equivalog	
TIGR00362	132	DNA metabolism	"DNA replication, recombination, and repair"	DnaA	chromosomal replication initiator protein DnaA	equivalog	
TIGR00363	88	Cell envelope	Other	TIGR00363	"_lipoprotein, YaeC family_"	subfamily	
TIGR00364	157	Unknown function	General	TIGR00364	queuosine biosynthesis protein QueC	equivalog	
TIGR00365	112	Energy metabolism	Electron transport	TIGR00365	"_monothiol glutaredoxin, Grx4 family_"	equivalog	
TIGR00366	156	Hypothetical proteins	Conserved	TIGR00366	TIGR00366 family protein	hypoth_equivalog	
TIGR00367	157	Unknown function	General	TIGR00367	K+-dependent Na+/Ca+ exchanger homolog	hypoth_equivalog	
TIGR00368	157	Unknown function	General	TIGR00368	Mg chelatase-like protein	hypoth_equivalog	
TIGR00370	156	Hypothetical proteins	Conserved	TIGR00370	"_sensor histidine kinase inhibitor, KipI family_"	hypoth_equivalog	
TIGR00372	719	Uncategorized	Uncategorized	cas4	CRISPR-associated protein Cas4	equivalog	
TIGR00373	165	Transcription	Transcription factors	TIGR00373	transcription factor E	equivalog	
TIGR00374	157	Unknown function	General	TIGR00374	TIGR00374 family protein	superfamily	
TIGR00375	156	Hypothetical proteins	Conserved	TIGR00375	TIGR00375 family protein	hypoth_equivalog	
TIGR00376	132	DNA metabolism	"DNA replication, recombination, and repair"	TIGR00376	putative DNA helicase	hypoth_equivalog	3.6.4.12
TIGR00377	263	Regulatory functions	Protein interactions	ant_ant_sig	anti-anti-sigma factor	superfamily	
TIGR00378	145	Transport and binding proteins	Cations and iron carrying compounds	cax	calcium/proton exchanger	equivalog	
TIGR00379	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	cobB	"_cobyrinic acid a,c-diamide synthase_"	equivalog	6.3.1.-
TIGR00380	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	cobD	cobalamin biosynthesis protein CobD	equivalog	6.3.1.10
TIGR00381	180	Energy metabolism	Chemoautotrophy	cdhD	"_CO dehydrogenase/acetyl-CoA synthase, delta subunit_"	equivalog	1.2.99.2
TIGR00382	138	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	clpX	"_ATP-dependent Clp protease, ATP-binding subunit ClpX_"	equivalog	
TIGR00383	145	Transport and binding proteins	Cations and iron carrying compounds	corA	magnesium and cobalt transport protein CorA	equivalog	
TIGR00384	108	Energy metabolism	Aerobic	dhsB	succinate dehydrogenase and fumarate reductase iron-sulfur protein	subfamily	
TIGR00385	95	Protein fate	Protein folding and stabilization	dsbE	"_periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily_"	subfamily	
TIGR00387	184	Energy metabolism	Other	glcD	"_glycolate oxidase, subunit GlcD_"	equivalog	
TIGR00388	137	Protein synthesis	tRNA aminoacylation	glyQ	"_glycine--tRNA ligase, alpha subunit_"	equivalog_domain	6.1.1.14
TIGR00389	137	Protein synthesis	tRNA aminoacylation	glyS_dimeric	glycine--tRNA ligase	equivalog	6.1.1.14
TIGR00390	95	Protein fate	Protein folding and stabilization	hslU	"_ATP-dependent protease HslVU, ATPase subunit_"	equivalog	
TIGR00391	112	Energy metabolism	Electron transport	hydA	hydrogenase (NiFe) small subunit (hydA)	superfamily	
TIGR00392	137	Protein synthesis	tRNA aminoacylation	ileS	isoleucine--tRNA ligase	equivalog	6.1.1.5
TIGR00393	119	Energy metabolism	Sugars	kpsF	"_sugar isomerase, KpsF/GutQ family_"	subfamily	
TIGR00394	700	Signal transduction	PTS	lac_pts_IIC	"_PTS system, lactose-specific IIC component_"	equivalog_domain	2.7.1.69
TIGR00395	137	Protein synthesis	tRNA aminoacylation	leuS_arch	leucine--tRNA ligase	equivalog	6.1.1.4
